Age,Sex,Ethnicity,Offence,Month and year,Value
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,August 2014,12
Ages 0 to 4 years inclusive,Male,Asian,Assault,September 2014,3
Ages 0 to 4 years inclusive,Female,Asian,Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,European,Assault,September 2014,9
Ages 0 to 4 years inclusive,Female,European,Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,September 2014,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,September 2014,6
Ages 0 to 4 years inclusive,Female,European,Abduction and Kidnapping,September 2014,3
Ages 0 to 4 years inclusive,Male,Indian,Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,September 2014,12
Ages 0 to 4 years inclusive,Female,Maori,Assault,September 2014,9
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,September 2014,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Sexual Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,Not Elsewhere Classified,Assault,September 2014,3
Ages 0 to 4 years inclusive,Female,Not Elsewhere Classified,Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,September 2014,9
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,September 2014,6
Ages 0 to 4 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Assault,September 2014,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,September 2014,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,September 2014,3
Ages 5 to 9 years inclusive,Male,European,Assault,September 2014,18
Ages 5 to 9 years inclusive,Female,European,Assault,September 2014,9
Ages 5 to 9 years inclusive,Female,Latin American/Hispanic,Assault,September 2014,3
Ages 5 to 9 years inclusive,Male,Maori,Assault,September 2014,18
Ages 5 to 9 years inclusive,Female,Maori,Assault,September 2014,18
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,September 2014,3
Ages 5 to 9 years inclusive,Male,Pacific Island,Assault,September 2014,15
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,September 2014,6
Ages 5 to 9 years inclusive,Female,Pacific Island,Abduction and Kidnapping,September 2014,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,September 2014,21
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,September 2014,12
Ages 0 to 4 years inclusive,Female,European,Assault,October 2014,9
Ages 0 to 4 years inclusive,Female,Maori,Assault,October 2014,6
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,October 2014,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,October 2014,3
Ages 5 to 9 years inclusive,Female,Indian,Assault,October 2014,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,October 2014,3
Ages 5 to 9 years inclusive,Female,Maori,Abduction and Kidnapping,October 2014,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,October 2014,6
Ages 0 to 4 years inclusive,Female,Indian,Assault,October 2014,3
Ages 0 to 4 years inclusive,Male,Maori,Sexual Assault,October 2014,3
Ages 0 to 4 years inclusive,Male,Maori,Abduction and Kidnapping,October 2014,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,October 2014,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,October 2014,6
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,October 2014,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,October 2014,3
Ages 0 to 4 years inclusive,Male,Not Elsewhere Classified,Sexual Assault,October 2014,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,October 2014,6
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,October 2014,6
Ages 5 to 9 years inclusive,Female,Maori,Assault,October 2014,15
Ages 5 to 9 years inclusive,Male,Not Elsewhere Classified,Assault,October 2014,3
Ages 5 to 9 years inclusive,Male,Pacific Island,Assault,October 2014,6
Ages 5 to 9 years inclusive,Female,Pacific Island,Sexual Assault,October 2014,3
Ages 5 to 9 years inclusive,Male,Not Stated / Inadequately Described,Assault,October 2014,21
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,October 2014,3
Ages 0 to 4 years inclusive,Male,European,Assault,October 2014,6
Ages 0 to 4 years inclusive,Male,Maori,Assault,October 2014,12
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,October 2014,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Abduction and Kidnapping,October 2014,3
Ages 5 to 9 years inclusive,Male,Maori,Assault,October 2014,27
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,October 2014,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,October 2014,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,November 2014,15
Ages 0 to 4 years inclusive,Female,European,Assault,November 2014,9
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,November 2014,3
Ages 0 to 4 years inclusive,Female,Maori,Assault,November 2014,12
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,November 2014,6
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,November 2014,6
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,November 2014,6
Ages 5 to 9 years inclusive,Female,Pacific Island,Sexual Assault,November 2014,3
Ages 0 to 4 years inclusive,Male,Maori,Sexual Assault,November 2014,3
Ages 0 to 4 years inclusive,Male,African,Assault,November 2014,3
Ages 0 to 4 years inclusive,Female,Asian,Assault,November 2014,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,November 2014,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,November 2014,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,November 2014,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,November 2014,15
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,November 2014,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,November 2014,18
Ages 0 to 4 years inclusive,Male,Maori,Assault,November 2014,6
Ages 0 to 4 years inclusive,Male,European,Assault,November 2014,6
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,November 2014,6
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,November 2014,6
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,November 2014,3
Ages 5 to 9 years inclusive,Female,Maori,Abduction and Kidnapping,November 2014,3
Ages 5 to 9 years inclusive,Female,Asian,Abduction and Kidnapping,November 2014,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,November 2014,3
Ages 0 to 4 years inclusive,Male,European,Assault,December 2014,9
Ages 0 to 4 years inclusive,Female,European,Assault,December 2014,3
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,December 2014,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,December 2014,3
Ages 0 to 4 years inclusive,Male,European,Abduction and Kidnapping,December 2014,3
Ages 0 to 4 years inclusive,Male,Indian,Assault,December 2014,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,December 2014,15
Ages 0 to 4 years inclusive,Female,Maori,Assault,December 2014,6
Ages 0 to 4 years inclusive,Male,Maori,Sexual Assault,December 2014,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,December 2014,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Homicide and Related Offences,December 2014,1
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,December 2014,12
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,December 2014,9
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,December 2014,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,December 2014,3
Ages 5 to 9 years inclusive,Female,Indian,Assault,December 2014,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,December 2014,12
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,December 2014,12
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,December 2014,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Abduction and Kidnapping,December 2014,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,December 2014,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,December 2014,12
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,December 2014,9
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,December 2014,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,January 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,January 2015,9
Ages 0 to 4 years inclusive,Female,Maori,Assault,January 2015,9
Ages 0 to 4 years inclusive,Female,European,Assault,January 2015,6
Ages 0 to 4 years inclusive,Female,Indian,Homicide and Related Offences,January 2015,1
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,January 2015,6
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,January 2015,15
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,January 2015,3
Ages 0 to 4 years inclusive,Male,Indian,Assault,January 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,January 2015,6
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Homicide and Related Offences,January 2015,1
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,January 2015,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Abduction and Kidnapping,January 2015,3
Ages 0 to 4 years inclusive,Male,Not Elsewhere Classified,Assault,January 2015,3
Ages 5 to 9 years inclusive,Not Stated/Inadequately Described,Not Stated / Inadequately Described,Assault,January 2015,3
Ages 0 to 4 years inclusive,Female,Asian,Assault,January 2015,3
Ages 5 to 9 years inclusive,Female,Indian,Assault,January 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Sexual Assault,January 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Sexual Assault,January 2015,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Assault,January 2015,3
Ages 0 to 4 years inclusive,Female,Not Elsewhere Classified,Assault,January 2015,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,January 2015,3
Ages 0 to 4 years inclusive,Male,European,Assault,January 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,January 2015,9
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,January 2015,9
Ages 0 to 4 years inclusive,Female,Indian,Assault,January 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,January 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,January 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,January 2015,9
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,January 2015,12
Ages 0 to 4 years inclusive,Male,Asian,Assault,February 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,February 2015,3
Ages 0 to 4 years inclusive,Female,European,Abduction and Kidnapping,February 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,February 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Abduction and Kidnapping,February 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,February 2015,6
Ages 0 to 4 years inclusive,Male,Not Elsewhere Classified,Abduction and Kidnapping,February 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,February 2015,9
Ages 5 to 9 years inclusive,Female,European,Abduction and Kidnapping,February 2015,3
Ages 5 to 9 years inclusive,Female,Indian,Assault,February 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,February 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,February 2015,15
Ages 0 to 4 years inclusive,Male,European,Assault,February 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,February 2015,9
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Abduction and Kidnapping,February 2015,3
Ages 0 to 4 years inclusive,Female,European,Assault,February 2015,9
Ages 0 to 4 years inclusive,Female,Maori,Assault,February 2015,6
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,February 2015,6
Ages 5 to 9 years inclusive,Female,Pacific Island,Sexual Assault,February 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,February 2015,6
Ages 5 to 9 years inclusive,Female,Maori,Assault,February 2015,12
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,February 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,February 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Homicide and Related Offences,February 2015,1
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,February 2015,21
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,February 2015,6
Ages 0 to 4 years inclusive,Male,European,Assault,March 2015,9
Ages 0 to 4 years inclusive,Female,European,Assault,March 2015,9
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,March 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,March 2015,3
Ages 0 to 4 years inclusive,Male,Indian,Assault,March 2015,3
Ages 0 to 4 years inclusive,Female,Indian,Assault,March 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,March 2015,9
Ages 0 to 4 years inclusive,Female,Maori,Assault,March 2015,6
Ages 0 to 4 years inclusive,Male,Maori,Sexual Assault,March 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,March 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,March 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,March 2015,3
Ages 0 to 4 years inclusive,Male,Not Elsewhere Classified,Assault,March 2015,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,March 2015,15
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,March 2015,6
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,March 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,March 2015,3
Ages 5 to 9 years inclusive,Female,Indian,Assault,March 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,March 2015,9
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,March 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,March 2015,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Assault,March 2015,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,March 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,March 2015,12
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,March 2015,9
Ages 0 to 4 years inclusive,Female,Asian,Assault,April 2015,3
Ages 0 to 4 years inclusive,Male,European,Homicide and Related Offences,April 2015,2
Ages 0 to 4 years inclusive,Male,European,Assault,April 2015,9
Ages 0 to 4 years inclusive,Female,European,Assault,April 2015,3
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,April 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,April 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,April 2015,12
Ages 0 to 4 years inclusive,Female,Maori,Assault,April 2015,12
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,April 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,April 2015,3
Ages 0 to 4 years inclusive,Male,Not Elsewhere Classified,Assault,April 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Homicide and Related Offences,April 2015,1
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,April 2015,21
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,April 2015,9
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,April 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,April 2015,6
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,April 2015,3
Ages 5 to 9 years inclusive,Female,Latin American/Hispanic,Assault,April 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,April 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,April 2015,3
Ages 5 to 9 years inclusive,Male,Maori,Abduction and Kidnapping,April 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Abduction and Kidnapping,April 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,April 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Sexual Assault,April 2015,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Assault,April 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,April 2015,12
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,April 2015,6
Ages 0 to 4 years inclusive,Female,Asian,Assault,May 2015,3
Ages 0 to 4 years inclusive,Male,European,Assault,May 2015,12
Ages 0 to 4 years inclusive,Female,European,Assault,May 2015,12
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,May 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,May 2015,6
Ages 0 to 4 years inclusive,Male,Indian,Assault,May 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,May 2015,18
Ages 0 to 4 years inclusive,Female,Maori,Assault,May 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,May 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,May 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,May 2015,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,May 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,May 2015,15
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,May 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,May 2015,6
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,May 2015,9
Ages 5 to 9 years inclusive,Female,Indian,Assault,May 2015,3
Ages 5 to 9 years inclusive,Female,Indian,Sexual Assault,May 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,May 2015,12
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,May 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,May 2015,6
Ages 5 to 9 years inclusive,Male,Maori,Abduction and Kidnapping,May 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,May 2015,6
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,May 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,May 2015,9
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,May 2015,3
Ages 0 to 4 years inclusive,Male,Asian,Assault,June 2015,3
Ages 0 to 4 years inclusive,Male,European,Assault,June 2015,3
Ages 0 to 4 years inclusive,Female,European,Assault,June 2015,3
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,June 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,June 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,June 2015,6
Ages 0 to 4 years inclusive,Female,Maori,Assault,June 2015,9
Ages 0 to 4 years inclusive,Male,Maori,Sexual Assault,June 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,June 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,June 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,June 2015,6
Ages 0 to 4 years inclusive,Female,Pacific Island,Sexual Assault,June 2015,3
Ages 0 to 4 years inclusive,Male,Not Elsewhere Classified,Assault,June 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Homicide and Related Offences,June 2015,1
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,June 2015,9
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,June 2015,9
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,June 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,June 2015,3
Ages 5 to 9 years inclusive,Female,African,Sexual Assault,June 2015,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,June 2015,9
Ages 5 to 9 years inclusive,Female,Maori,Assault,June 2015,15
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,June 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,June 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,June 2015,6
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,June 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,June 2015,12
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,June 2015,3
Ages 0 to 4 years inclusive,Male,European,Homicide and Related Offences,July 2015,2
Ages 0 to 4 years inclusive,Female,European,Homicide and Related Offences,July 2015,1
Ages 0 to 4 years inclusive,Male,European,Assault,July 2015,3
Ages 0 to 4 years inclusive,Female,European,Assault,July 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,July 2015,3
Ages 0 to 4 years inclusive,Male,European,Abduction and Kidnapping,July 2015,3
Ages 0 to 4 years inclusive,Female,European,Abduction and Kidnapping,July 2015,3
Ages 0 to 4 years inclusive,Female,Indian,Assault,July 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,July 2015,6
Ages 0 to 4 years inclusive,Female,Maori,Assault,July 2015,6
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,July 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Abduction and Kidnapping,July 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,July 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,July 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Sexual Assault,July 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Homicide and Related Offences,July 2015,1
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,July 2015,15
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,July 2015,9
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,July 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,July 2015,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,July 2015,6
Ages 5 to 9 years inclusive,Female,Maori,Assault,July 2015,12
Ages 5 to 9 years inclusive,Male,Maori,Sexual Assault,July 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,July 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,July 2015,3
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,July 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,July 2015,15
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,July 2015,9
Ages 0 to 4 years inclusive,Male,Asian,Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,Asian,Assault,August 2015,3
Ages 0 to 4 years inclusive,Male,European,Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,European,Assault,August 2015,3
Ages 0 to 4 years inclusive,Male,European,Sexual Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,August 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Homicide and Related Offences,August 2015,1
Ages 0 to 4 years inclusive,Male,Maori,Assault,August 2015,9
Ages 0 to 4 years inclusive,Female,Maori,Assault,August 2015,6
Ages 0 to 4 years inclusive,Male,Maori,Sexual Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,Middle Eastern,Assault,August 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Homicide and Related Offences,August 2015,1
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,August 2015,12
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,August 2015,6
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,August 2015,3
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,August 2015,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,August 2015,6
Ages 5 to 9 years inclusive,Female,Latin American/Hispanic,Assault,August 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Assault,August 2015,9
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,August 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,August 2015,6
Ages 5 to 9 years inclusive,Female,Not Elsewhere Classified,Sexual Assault,August 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,August 2015,15
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,August 2015,6
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Abduction and Kidnapping,August 2015,3
Ages 0 to 4 years inclusive,Male,Asian,Assault,September 2015,3
Ages 0 to 4 years inclusive,Female,Asian,Assault,September 2015,3
Ages 0 to 4 years inclusive,Male,European,Assault,September 2015,6
Ages 0 to 4 years inclusive,Female,European,Assault,September 2015,3
Ages 0 to 4 years inclusive,Male,Indian,Assault,September 2015,3
Ages 0 to 4 years inclusive,Male,Maori,Assault,September 2015,12
Ages 0 to 4 years inclusive,Female,Maori,Assault,September 2015,3
Ages 0 to 4 years inclusive,Male,Pacific Island,Assault,September 2015,3
Ages 0 to 4 years inclusive,Female,Pacific Island,Assault,September 2015,6
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Assault,September 2015,9
Ages 0 to 4 years inclusive,Female,Not Stated / Inadequately Described,Assault,September 2015,15
Ages 5 to 9 years inclusive,Female,Maori,Assault,September 2015,12
Ages 5 to 9 years inclusive,Female,Pacific Island,Assault,September 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Assault,September 2015,15
Ages 0 to 4 years inclusive,Female,European,Sexual Assault,September 2015,3
Ages 0 to 4 years inclusive,Female,Maori,Sexual Assault,September 2015,3
Ages 0 to 4 years inclusive,Male,Not Stated / Inadequately Described,Sexual Assault,September 2015,3
Ages 5 to 9 years inclusive,Female,European,Sexual Assault,September 2015,6
Ages 5 to 9 years inclusive,Female,Indian,Sexual Assault,September 2015,3
Ages 5 to 9 years inclusive,Female,Maori,Sexual Assault,September 2015,3
Ages 5 to 9 years inclusive,Female,Pacific Island,Sexual Assault,September 2015,3
Ages 5 to 9 years inclusive,Female,Not Stated / Inadequately Described,Sexual Assault,September 2015,6
Ages 0 to 4 years inclusive,Male,European,Homicide and Related Offences,October 2015,1
Ages 0 to 4 years inclusive,Male,European,Assault,October 2015,6
